"Table 1015. Retail Trade and Food Services--Sales, by Kind of Business:1995 to 2006",,,,,,,,,,,,,
,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"2002 NAICS code \1",,,,,,,,,,,,
Kind of Business,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
,,,,, , ,,,,,,,
,,(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions)
    Discount department stores ,452112,116.62,120.031,126.123,128.982,133.652,136.193,137.595,133.886,128.445,129.547,128.138,128.716
"  Department stores (including L.D. \4)",4521,210.919,217.001,225.062,228.934,236.847,239.921,235.579,227.773,221.03,221.972,220.541,218.03
    Department stores (except discount deparment stores),452111,92.258,95.065,97.013,97.523,100.302,100.284,93.871,90.228,89.298,89.274,89.575,86.548
    Discount department stores ,452112,118.661,121.936,128.049,131.411,136.545,139.637,141.708,137.545,131.732,132.698,130.966,131.482
  Other general merchandise stores,4529,94.669,103.195,111.346,127.896,149.987,171.869,199.209,225.905,254.307,281.517,310.706,340.01
    Warehouse clubs and superstores,45291,65.101,73.079,81.919,98.493,118.809,139.614,164.716,191.252,216.327,242.423,270.177,297.934
    All other general merchandise stores,45299,29.568,30.116,29.427,29.403,31.178,32.255,34.493,34.653,37.98,39.094,40.529,42.076
,,,,,,,,,,,,,
Miscellaneous stores retail,453,77.177,84.109,91.669,99.757,105.577,108.052,104.381,104.163,103.056,105.253,110.593,119.493
,,,,,,,,,,,,,
"Nonstore retailers \3",454,103.705,117.963,126.397,134.113,152.022,180.688,180.805,189.535,203.902,224.002,244.333,270.498
  Electronic shopping and mail-order houses,4541,52.741,61.174,70.136,80.366,94.361,113.877,114.844,122.313,131.171,147.199,161.598,182.432
  Fuel dealers,45431,19.824,22.567,21.946,18.931,19.918,26.699,26.1,23.988,28.961,31.879,37.199,38.329
,,,,,,,,,,,,,
"  Food services and drinking places \3",722,233.625,242.896,258.04,272.227,285.013,305.461,317.852,331.814,349.693,371.976,394.601,426.152
Full service restaurants,7221,99.43,104.514,114.591,120.035,125.706,134.204,140.682,148.211,155.085,163.834,172.241,188.112
Limited service eating places,7222,103.143,106.192,109.298,115.794,119.991,127.879,132.924,138.302,147.087,158.699,169.684,182.861
Drinking places,7224,12.515,13.015,13.445,14.035,14.61,15.415,15.769,16.417,17.58,18.168,19.033,19.329
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Business Reports,",,,,,,,,,,,,,
Annual Revision of Monthly Retail and Food Services: Sales and Inventories--January 1992 Through,,,,,,,,,,,,,
"February 200, Series BR/06-A.",,,,,,,,,,,,,
